website,CNAME with subdomain,CNAME,tracker provider,number of trackers on site
asadventure.nl,asadventure.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
asnbank.nl,asnbank.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,3
beterhoren.nl,beterhoren.nl.data.adobedc.net.,data.adobedc.net,Adobe,1
betterplaces.nl,custom.plausible.io.,custom.plausible.io,Plausible Analytics,2
bever.nl,bever.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
blgwonen.nl,blgwonen.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,3
consumentenbond.nl,consumentenbond.nl.102.112.2o7.net.,2o7.net,Adobe,2
cz.nl,p06g.hs.eloqua.com.,hs.eloqua.com,Oracle Eloqua,2
disney.nl,disney.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
douglas.nl,douglas.nl.data.adobedc.net.,data.adobedc.net,Adobe,1
dyson.nl,dyson.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
esprit.nl,esprit.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,3
esri.nl,esri.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
essent.nl,essent.nl.ssl.d2.sc.omtrdc.net.,sc.omtrdc.net,Adobe,3
home24.nl,lb1.affex.org.,affex.org,Ingenious technologies,2
hornbach.nl,hornbach-02.wt-eu02.net.,wt-eu02.net,WebTrekk,1
jeugdbibliotheek.nl,jeugdbibliotheek.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
kijk.nl,kijk.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,3
large.nl,emp01.wt-eu02.net.,wt-eu02.net,WebTrekk,2
liander.nl,liander.nl.102.122.2o7.net.,2o7.net,Adobe,2
maatwerkonline.nl,afc4d9aa2a91d11e997c60ac8a4ec150-2082092489.eu-central-1.elb.amazonaws.com.,afc4d9aa2a91d11e997c60ac8a4ec150-2082092489.eu-central-1.elb.amazonaws.com,TraceDock,1
milieudefensie.nl,adepci3.actonsoftware.com.,actonsoftware.com,Act-On,2
npo.nl,atconnect-npo-nl-cddc.at-o.net.,at-o.net,AT Internet,1
nti.nl,aiepci6.actonsoftware.com.,actonsoftware.com,Act-On,2
overstappen.nl,a351fec2c318c11ea9b9b0a0ae18fb0b-1529426863.eu-central-1.elb.amazonaws.com.,a351fec2c318c11ea9b9b0a0ae18fb0b-1529426863.eu-central-1.elb.amazonaws.com,TraceDock,1
qwic.nl,afc4d9aa2a91d11e997c60ac8a4ec150-2082092489.eu-central-1.elb.amazonaws.com.,afc4d9aa2a91d11e997c60ac8a4ec150-2082092489.eu-central-1.elb.amazonaws.com,TraceDock,1
regiobank.nl,regiobank.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,3
robeco.nl,robeco.nl.ssl.sc.omtrdc.net.,sc.omtrdc.net,Adobe,2
sdim.nl,afc4d9aa2a91d11e997c60ac8a4ec150-2082092489.eu-central-1.elb.amazonaws.com.,afc4d9aa2a91d11e997c60ac8a4ec150-2082092489.eu-central-1.elb.amazonaws.com,TraceDock,1
snsbank.nl,snsbank.nl.102.122.2o7.net.,2o7.net,Adobe,3
stepstone.nl,stepstone.nl.data.adobedc.net.,data.adobedc.net,Adobe,1
unive.nl,unive.nl.data.adobedc.net.,data.adobedc.net,Adobe,2
webinar.nl,aiepci2.actonsoftware.com.,actonsoftware.com,Act-On,2
yoobi.nl,adepci4.actonsoftware.com.,actonsoftware.com,Act-On,2
